what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1347124717280
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1347124717280
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1347124717281
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1347124717283
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1347124717283
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1347124717284
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1347124717284
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1347124717285
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1347124717285
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1347124717286
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1347124717286
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1347124717286
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1347124717287
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1347124717287
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1347124717288
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1347124717289
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1347124717289
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1347124717290
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1347124717290
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1347124717291
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1347124717291
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1347124717292
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1347124717293
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1347124717293
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1347124717294
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1347124717295
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1347124717296
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1347124717296
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1347124717297
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1347124717297
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1347124717298
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1347124717299
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1347124717300
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1347124717300
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1347124717300
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1347124717301
os,sysinfo,,,"win32",1347124717303
arch,sysinfo,,,"x86_64",1347124717303
ws,sysinfo,,,"win32",1347124717303
locale,sysinfo,,,"ru_RU",1347124717303
processors,sysinfo,,,"4",1347124717303
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347124717303
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1347124717303
java.specification.name,sysinfo,,,"Java Platform API Specification",1347124717303
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124717303
java.specification.version,sysinfo,,,"1.6",1347124717303
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124717303
java.version,sysinfo,,,"1.6.0_21",1347124717303
java.vm.info,sysinfo,,,"mixed mode",1347124717303
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1347124717303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347124717303
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124717303
java.vm.specification.version,sysinfo,,,"1.0",1347124717303
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124717303
java.vm.version,sysinfo,,,"17.0-b17",1347124717303
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1347124718475
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1347124718526
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1347124718542
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1347124718727
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1347124718730
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1347124718732
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1347124720891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124720895
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124722508
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1347124723731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124727946
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124745891
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1347124746658
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1347124747113
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1347124752535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124764658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124779801
